Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Reliance Industries Ltd.,Refineries/marketing,8.33,24.4,8.33%,0.63%,5.7% (Aug 2018),5.7% (Aug 2018),17.54 k,1.57 k,Large Cap,91.81
ICICI Bank Ltd.,Banks,25.73,21.8,7.43%,0.11%,2.75% (May 2018),2.75% (May 2018),53.36 k,0.00,Large Cap,91.81
HDFC Bank Ltd.,Banks,25.73,20.3,6.93%,0.22%,5.64% (May 2018),5.64% (May 2018),8.77 k,0.20 k,Large Cap,91.81
Housing Development Finance Corporation Ltd.,Housing finance,5.92,17.3,5.92%,1.53%,3.65% (May 2018),3.65% (May 2018),8.68 k,2.20 k,Large Cap,91.81
Axis Bank Ltd.,Banks,25.73,16.7,5.71%,0.12%,1.37% (May 2018),1.37% (May 2018),21.82 k,0.00,Large Cap,91.81
Tata Consultancy Services Ltd.,Computers  software,11.86,15.9,5.43%,0.38%,3.84% (May 2018),3.84% (May 2018),7.06 k,0.28 k,Large Cap,91.81
Infosys Ltd.,Computers  software,11.86,14.8,5.06%,0.82%,4.46% (Nov 2018),4.46% (Nov 2018),19.78 k,3.23 k,Large Cap,91.81
ITC Limited,Cigarettes,4.69,13.8,4.69%,0.03%,3.31% (Jun 2018),3.31% (Jun 2018),45.59 k,0.00,Large Cap,91.81
Larsen & Toubro Ltd.,"Engineering, designing, construction",4.44,13,4.44%,0.01%,3.34% (Jun 2018),3.34% (Jun 2018),9.65 k,350.00,Large Cap,91.81
State Bank Of India,Banks,25.73,8.7,2.98%,0.13%,0.79% (May 2018),0.79% (May 2018),28.18 k,0.00,Large Cap,91.81
J S W Steel Ltd.,Steel,4.05,7.5,2.58%,0.77%,0.74% (Dec 2018),0.74% (Dec 2018),24.50 k,6.50 k,Large Cap,91.81
Hero Motocorp Ltd.,Motor cycles/scooters,4.24,6.5,2.23%,1.53%,0.7% (Mar 2019),0.7% (Mar 2019),2.60 k,1.80 k,Large Cap,91.81
Asian Paints (india) Ltd.,Paints,2.12,6.2,2.12%,0.21%,2.12% (Oct 2018),2.12% (Oct 2018),4.24 k,0.30 k,Large Cap,91.81
Hindalco Industries Ltd.,Aluminium,2.04,6,2.04%,0.01%,0.41% (Oct 2018),0% (May 2018),29.00 k,0.00,Large Cap,91.81
Bajaj Auto Ltd.,Motor cycles/scooters,4.24,5.9,2.01%,0.03%,1.46% (May 2018),1.46% (May 2018),1.97 k,0.00,Large Cap,91.81
Ultratech Cement Ltd.,Cement,1.94,5.7,1.94%,0.12%,1.03% (May 2018),1.03% (May 2018),1.23 k,93.00,Large Cap,91.81
Bajaj Finance Ltd.,Nbfc,4.55,5.7,1.93%,0.03%,1.21% (Jan 2019),1.21% (Jan 2019),1.83 k,0.00,Large Cap,91.81
Hindustan Unilever Ltd.,Diversified,1.74,5.1,1.74%,0.03%,1.55% (Sep 2018),1.55% (Sep 2018),2.91 k,0.00,Large Cap,91.81
Kotak Mahindra Bank Ltd.,Banks,25.73,4.7,1.59%,0.04%,1.55% (Mar 2019),1.55% (Mar 2019),3.37 k,0.00,Large Cap,91.81
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,1.83,4.6,1.56%,0.40%,0.73% (Jun 2018),0% (May 2018),1.56 k,350.00,Large Cap,91.81
Tata Motors Ltd.,Passenger/utility vehicles,2.96,4.5,1.54%,1.06%,0.48% (Mar 2019),0% (May 2018),21.00 k,13.00 k,Large Cap,91.81
Tata Steel Ltd.,Steel,4.05,4.3,1.47%,0.30%,0.99% (Dec 2018),0.99% (Dec 2018),7.76 k,1.24 k,Large Cap,91.81
Havells India Ltd.,Consumer elctronics,1.47,4.3,1.47%,0.00%,1.26% (Sep 2018),1.26% (Sep 2018),5.55 k,0.00,Large Cap,91.81
Aditya Birla Capital Ltd.,Nbfc,4.55,4.1,1.40%,0.90%,0.5% (Mar 2019),0% (May 2018),42.00 k,27.00 k,Mid Cap,5.6
Rural Electrification Corporation Limited,Financial institution,1.32,3.9,1.32%,0.21%,1.24% (Feb 2019),0% (May 2018),26.16 k,2.84 k,Mid Cap,5.6
