Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,12.85,2431.6,3.53%,0.11%,3.17% (Aug 2018),3.17% (Aug 2018),10.49 L,0.00,Large Cap,15.85
The Ramco Cements Ltd.,Cement,4.69,2125.3,3.09%,0.25%,1.77% (Jun 2018),1.77% (Jun 2018),27.44 L,0.00,Mid Cap,69.69
City Union Bank Ltd.,Banks,12.85,1964.8,2.85%,0.06%,2.52% (Jul 2018),2.52% (Jul 2018),96.88 L,0.00,Mid Cap,69.69
Kotak Mahindra Bank Ltd.,Banks,12.85,1873.1,2.72%,0.19%,2.47% (Oct 2018),2.47% (Oct 2018),13.51 L,0.00,Large Cap,15.85
Kansai Nerolac Paints Ltd.,Paints,2.68,1847.3,2.68%,0.02%,1.8% (May 2018),1.8% (May 2018),41.88 L,0.00,Mid Cap,69.69
Finolex Cables Ltd.,Cables  electricals,2.65,1824.9,2.65%,0.12%,2.58% (Feb 2019),2.58% (Feb 2019),41.45 L,0.00,Small Cap,8.54
Info Edge (India) Ltd.,It enabled services – software,2.63,1813.4,2.63%,0.20%,1.81% (Jun 2018),1.81% (Jun 2018),9.38 L,0.00,Mid Cap,69.69
Voltas Limited,"Engineering, designing, construction",2.46,1696.5,2.46%,0.17%,2.44% (May 2018),2.44% (May 2018),28.15 L,1.64 L,Mid Cap,69.69
Mindtree Ltd.,Computers  software,2.4,1650.9,2.40%,0.17%,1.22% (Nov 2018),0% (May 2018),16.82 L,0.00,Mid Cap,69.69
Apollo Tyres Limited,Tyres & allied,3.49,1606.1,2.33%,0.11%,2.33% (Apr 2019),2.33% (Apr 2019),77.95 L,0.00,Mid Cap,69.69
Indian Hotels Company Limited,Hotels/resorts,2.28,1573.1,2.28%,0.06%,1.81% (Jun 2018),1.81% (Jun 2018),1.02 Cr,0.00,Mid Cap,69.69
SKF India Ltd.,Bearings,4.32,1547.7,2.25%,0.15%,2.18% (Jul 2018),2.18% (Jul 2018),7.84 L,0.50 L,Mid Cap,69.69
LIC Housing Finance Ltd.,Housing finance,2.22,1532.2,2.22%,0.09%,1.37% (May 2018),1.37% (May 2018),30.84 L,0.00,Mid Cap,69.69
Pi Industries Ltd.,Pesticides and agrochemicals,3.33,1509.3,2.19%,0.04%,1.52% (Aug 2018),1.52% (Aug 2018),14.45 L,0.36 L,Mid Cap,69.69
Equitas Holdings Ltd.,Investment companies,2.17,1467.5,2.13%,0.03%,1.9% (Nov 2018),1.9% (Nov 2018),1.13 Cr,0.00,Small Cap,8.54
Crompton Greaves Consumer Electricals Ltd.,Home appliances,2.74,1432.2,2.08%,0.16%,1.92% (Mar 2019),1.92% (Mar 2019),60.27 L,0.00,Mid Cap,69.69
Schaeffler India Ltd.,Bearings,4.32,1427.2,2.07%,0.02%,2.05% (Mar 2019),2.05% (Mar 2019),2.65 L,0.00,Mid Cap,69.69
Tata Chemicals Ltd.,Chemicals  inorganic,2.04,1403.6,2.04%,0.07%,1.8% (Jul 2018),1.8% (Jul 2018),24.32 L,50.00 k,Mid Cap,69.69
Oberoi Realty Ltd.,Residential/commercial/sez project,1.99,1372.8,1.99%,0.02%,1.68% (Aug 2018),1.68% (Aug 2018),27.06 L,0.00,Mid Cap,69.69
Gujarat State Petronet Ltd.,Gas transmission/marketing,1.97,1353.8,1.97%,0.16%,1.64% (Feb 2019),1.64% (Feb 2019),67.72 L,0.00,Mid Cap,69.69
AIA Engineering Ltd.,Castings/forgings,2.57,1343.4,1.95%,0.08%,1.74% (May 2018),1.74% (May 2018),7.40 L,0.00,Mid Cap,69.69
