Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

The Ramco Cements Ltd.,Cement,6,24.1,4.55%,0.27%,3.76% (Nov 2018),3.76% (Nov 2018),31.05 k,0.00,Mid Cap,65.59
Bajaj Finance Ltd.,Nbfc,12.74,18,3.42%,0.11%,2.25% (May 2018),2.25% (May 2018),5.83 k,0.00,Large Cap,14.29
Bajaj Finserv Ltd,Nbfc,12.74,17.8,3.37%,0.25%,2.62% (May 2018),2.62% (May 2018),2.37 k,0.00,Large Cap,14.29
Thermax Ltd.,Industrial equipment,3.12,16.5,3.12%,0.43%,2.69% (Mar 2019),2.69% (Mar 2019),16.91 k,2.14 k,Mid Cap,65.59
Jubilant Foodworks Ltd.,Consumer food,5.66,16,3.03%,0.23%,3.03% (Apr 2019),0% (May 2018),12.06 k,0.00,Mid Cap,65.59
Trent Limited,Retailing,5.14,15.9,3.01%,0.02%,0.74% (Jun 2018),0.74% (Jun 2018),44.69 k,0.00,Mid Cap,65.59
Cesc Ltd.,Power,2.68,14.1,2.68%,0.08%,2.63% (Dec 2018),2.63% (Dec 2018),20.16 k,0.00,Mid Cap,65.59
City Union Bank Ltd.,Banks,3.46,14,2.64%,0.00%,2.16% (Jul 2018),2.16% (Jul 2018),68.80 k,0.00,Mid Cap,65.59
Varun Beverages Ltd.,Consumer food,5.66,13.9,2.63%,0.57%,2.07% (Mar 2019),0% (May 2018),15.88 k,3.15 k,Mid Cap,65.59
ICICI Lombard General Insurance Co Ltd.,Insurance,4.55,13.3,2.51%,0.16%,1.62% (Jun 2018),1.62% (Jun 2018),12.13 k,0.00,Large Cap,14.29
L&T Technology Services Ltd.,It enabled services – software,2.47,13,2.47%,0.26%,0.35% (Jul 2018),0.35% (Jul 2018),7.51 k,0.00,Mid Cap,65.59
Bayer Cropscience Ltd.,Pesticides and agrochemicals,2.45,13,2.45%,0.15%,2.45% (Apr 2019),2.45% (Apr 2019),3.15 k,0.00,Mid Cap,65.59
Cholamandalam Investment & Finance Co. Ltd.,Nbfc,12.74,12.8,2.43%,0.08%,2.17% (Sep 2018),2.17% (Sep 2018),9.23 k,0.00,Mid Cap,65.59
Bata India Ltd.,Leather and leather products,2.35,12.4,2.35%,0.10%,1.22% (May 2018),1.22% (May 2018),8.53 k,0.00,Mid Cap,65.59
Mphasis Ltd.,Computers  software,2.34,12.4,2.34%,0.03%,2.34% (Apr 2019),2.34% (Apr 2019),12.75 k,0.00,Mid Cap,65.59
Schaeffler India Ltd.,Bearings,2.31,12.2,2.31%,0.02%,2.17% (Jul 2018),2.17% (Jul 2018),2.26 k,0.00,Mid Cap,65.59
EIH Ltd,Hotels/resorts,2.28,12,2.28%,0.18%,1.9% (Sep 2018),1.9% (Sep 2018),63.75 k,0.00,Mid Cap,65.59
Siemens Ltd.,Power equipment,2.26,11.9,2.26%,0.11%,1.84% (Jul 2018),1.84% (Jul 2018),10.18 k,0.00,Large Cap,14.29
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,2.2,11.6,2.20%,0.07%,1.8% (May 2018),1.8% (May 2018),37.11 k,0.00,Mid Cap,65.59
#Crompton Greaves Consumer Electricals Ltd.,Home appliances,4.35,11.5,2.18%,2.18%,2.18% (Apr 2019),0% (May 2018),48.46 k,48.46 k,Mid Cap,65.59
Whirlpool Of India Ltd.,Home appliances,4.35,11.4,2.17%,0.17%,2.17% (Apr 2019),2.17% (Apr 2019),8.22 k,0.00,Mid Cap,65.59
Aditya Birla Fashion and Retail Ltd.,Retailing,5.14,11.2,2.13%,0.02%,1.11% (Aug 2018),0% (May 2018),52.11 k,0.00,Mid Cap,65.59
VGuard Industries Ltd.,Industrial electronics,2.12,11.2,2.12%,0.02%,1.83% (Sep 2018),1.83% (Sep 2018),51.33 k,0.00,Small Cap,11.2
SBI Life Insurance Co Ltd.,Insurance,4.55,10.8,2.04%,0.20%,0.22% (Jul 2018),0.22% (Jul 2018),16.86 k,0.00,Large Cap,14.29
Redington (India) Ltd.,Logistics solution provider,1.96,10.3,1.96%,0.01%,1.51% (Jan 2019),1.51% (Jan 2019),1.02 L,0.00,Small Cap,11.2
Oberoi Realty Ltd.,Residential/commercial/sez project,1.89,10,1.89%,0.06%,1.56% (Aug 2018),0% (May 2018),19.71 k,0.00,Mid Cap,65.59
Mahindra & Mahindra Financial Services Ltd.,Nbfc,12.74,9.8,1.85%,0.07%,1.85% (Apr 2019),1.85% (Apr 2019),24.35 k,0.00,Mid Cap,65.59
GMR Infrastructure Ltd.,"Engineering, designing, construction",1.77,9.4,1.77%,0.31%,1.65% (Jun 2018),1.65% (Jun 2018),5.61 L,0.00,Mid Cap,65.59
LIC Housing Finance Ltd.,Housing finance,1.76,9.3,1.76%,0.11%,1.58% (Sep 2018),0% (May 2018),18.77 k,0.00,Mid Cap,65.59
Vardhman Textiles Ltd.,Spinningcotton/blended,1.72,9.1,1.72%,0.08%,1.59% (Aug 2018),1.59% (Aug 2018),8.06 k,0.00,Small Cap,11.2
Max Financial Services Ltd.,Nbfc,12.74,8.8,1.67%,0.05%,1.64% (Oct 2018),1.64% (Oct 2018),21.09 k,0.00,Mid Cap,65.59
Quess Corp Ltd.,Diversified commercial services,1.67,8.8,1.67%,0.10%,1.6% (Jan 2019),1.6% (Jan 2019),12.60 k,0.00,Mid Cap,65.59
Jindal Steel & Power Ltd.,Steel,1.56,8.2,1.56%,0.00%,1.27% (Jan 2019),1.27% (Jan 2019),46.23 k,0.00,Mid Cap,65.59
Castrol (india) Ltd.,Lubricants,1.53,8.1,1.53%,0.12%,1.51% (Aug 2018),1.51% (Aug 2018),52.82 k,0.00,Mid Cap,65.59
WABCO India Ltd.,Auto ancillaries,3.7,8,1.51%,0.08%,1.51% (Apr 2019),1.51% (Apr 2019),1.27 k,0.00,Mid Cap,65.59
SundaramClayton Ltd.,Auto ancillaries,3.7,7.9,1.50%,0.03%,1.5% (Apr 2019),1.5% (Apr 2019),2.82 k,0.00,Small Cap,11.2
J.K. Cement Ltd.,Cement,6,7.7,1.45%,0.07%,1.18% (Oct 2018),1.18% (Oct 2018),8.50 k,0.00,Small Cap,11.2
Tata Global Beverages Ltd.,Tea &  coffee,1.16,6.1,1.16%,0.04%,1.12% (Mar 2019),0% (May 2018),29.36 k,0.00,Mid Cap,65.59
Apollo Hospitals Enterprises Ltd.,Hospital,1.13,6,1.13%,0.00%,0.85% (Jul 2018),0.85% (Jul 2018),4.92 k,0.00,Mid Cap,65.59
Emami Ltd.,Personal care,1.12,5.9,1.12%,0.02%,1.12% (Apr 2019),1.12% (Apr 2019),15.31 k,0.00,Mid Cap,65.59
JM Financial Ltd.,Stockbroking and allied,1.63,5,0.94%,0.05%,0.68% (Oct 2018),0.68% (Oct 2018),55.88 k,0.00,Small Cap,11.2
Karur Vysya Bank Ltd,Banks,3.46,4.3,0.82%,0.07%,0.75% (Mar 2019),0% (May 2018),55.96 k,0.00,Small Cap,11.2
Motherson Sumi Systems Ltd.,Auto ancillaries,3.7,3.7,0.69%,0.01%,0.69% (Apr 2019),0.69% (Apr 2019),24.92 k,0.00,Large Cap,14.29
ICICI Securities Ltd.,Stockbroking and allied,1.63,3.6,0.69%,0.06%,0.66% (Feb 2019),0% (May 2018),16.42 k,0.00,Small Cap,11.2
Coromandel International Ltd.,Fertilisersphosphatic,,16.5,0.00%,3.09%,,,,,Mid Cap,65.59
Sundram Fasteners Ltd.,Fastener,,5.2,0.00%,0.98%,,,,,Mid Cap,65.59
