Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Subros Ltd.,Auto ancillaries,1.42,6.1,1.42%,1.04%,3.89% (Sep 2018),1.42% (Feb 2019),25.09 k,0.19 L,Small Cap,1.42
Take Solutions Ltd.,Computers  software,,4.2,0.00%,0.97%,,,,,Small Cap,1.42
INOX Leisure Ltd.,"Flim production, distribution & exhibition",,6.5,0.00%,1.51%,,,,,,0
DCB Bank Ltd.,Banks,,13.7,0.00%,3.18%,,,,,,0
Mcleod Russel (India) Ltd.,Tea &  coffee,,2.9,0.00%,0.66%,,,,,,0
Timken India Ltd.,Bearings,,7.3,0.00%,1.68%,,,,,,0
M M Forgings Ltd.,Castings/forgings,,10.7,0.00%,2.48%,,,,,,0
Navin Flourine International Ltd.,Chemicals  inorganic,,4,0.00%,0.91%,,,,,,0
Indostar Capital Finance Private Ltd.,Nbfc,,4.2,0.00%,0.97%,,,,,,0
HSIL Ltd.,Glass – consumer,,5.5,0.00%,1.27%,,,,,,0
INEOS Styrolution India Ltd.,Plastic products,,5.3,0.00%,1.23%,,,,,,0
TCNS Clothing Company Ltd.,Fabrics and garments,,4.2,0.00%,0.96%,,,,,,0
Ujjivan Small Finance Bank Ltd.,Banks,,3.6,0.00%,0.82%,,,,,,0
Capacite Infraprojects Ltd.,Residential/commercial/sez project,,3.3,0.00%,0.76%,,,,,,0
Godfrey Phillips India Ltd.,Cigarettes,,4.8,0.00%,1.11%,,,,,,0
NCC Ltd.,"Engineering, designing, construction",,7.2,0.00%,1.66%,,,,,,0
Arrow Greentech Ltd.,Packaging,,1,0.00%,0.22%,,,,,,0
Blue Star Ltd.,Air conditioner,,11.1,0.00%,2.55%,,,,,,0
Oriental Hotels Ltd.,Hotels/resorts,,3.8,0.00%,0.87%,,,,,,0
Ksb Pumps Ltd.,Compressors / pumps,,6.2,0.00%,1.42%,,,,,,0
