Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Bata India Ltd.,Leather and leather products,8.39,558.3,8.39%,0.43%,4.54% (May 2018),4.54% (May 2018),3.84 L,0.00,Mid Cap,68.13
Voltas Limited,"Engineering, designing, construction",8.54,334.5,5.03%,0.13%,4.55% (May 2018),4.55% (May 2018),5.55 L,0.00,Mid Cap,68.13
United Breweries Ltd.,Brew/distilleries,4.8,319.3,4.80%,0.17%,4.15% (Aug 2018),0% (May 2018),2.25 L,0.00,Large Cap,13.16
Pi Industries Ltd.,Pesticides and agrochemicals,5.28,268.6,4.04%,0.12%,2.2% (May 2018),2.2% (May 2018),2.57 L,0.00,Mid Cap,68.13
Jubilant Foodworks Ltd.,Consumer food,3.59,239.1,3.59%,0.24%,1.62% (Jun 2018),0% (May 2018),1.80 L,0.00,Mid Cap,68.13
City Union Bank Ltd.,Banks,7.89,238.7,3.59%,0.03%,3.16% (Jul 2018),3.16% (Jul 2018),11.77 L,0.00,Mid Cap,68.13
Indian Hotels Company Limited,Hotels/resorts,3.48,231.5,3.48%,0.05%,3.05% (Aug 2018),3.05% (Aug 2018),15.00 L,0.00,Mid Cap,68.13
Federal Bank Ltd.,Banks,7.89,222.6,3.35%,0.07%,3.3% (Feb 2019),3.3% (Feb 2019),24.00 L,0.00,Mid Cap,68.13
AIA Engineering Ltd.,Castings/forgings,2.86,190.5,2.86%,0.08%,2.47% (May 2018),2.47% (May 2018),1.05 L,0.00,Mid Cap,68.13
Future Retail Ltd.,Retailing,8.98,189.1,2.84%,0.17%,2.84% (Apr 2019),2.84% (Apr 2019),4.50 L,0.00,Mid Cap,68.13
Vinati Organics Ltd.,Chemicals  speciality,2.82,187.5,2.82%,0.29%,1.74% (Jul 2018),1.74% (Jul 2018),1.04 L,0.00,Small Cap,15.37
Cummins India Ltd.,Diesel engines,2.57,170.8,2.57%,0.02%,2.57% (Apr 2019),0% (May 2018),2.35 L,0.00,Mid Cap,68.13
Trent Limited,Retailing,8.98,160.4,2.41%,0.00%,1.67% (Jun 2018),1.67% (Jun 2018),4.51 L,0.00,Mid Cap,68.13
Havells India Ltd.,Consumer elctronics,2.33,154.9,2.33%,0.05%,1.66% (May 2018),1.66% (May 2018),2.00 L,0.00,Large Cap,13.16
KNR Constructions,Construction civil,3.05,151.4,2.27%,0.16%,1.9% (Sep 2018),1.9% (Sep 2018),6.31 L,0.00,Small Cap,15.37
Shree Cement Ltd.,Cement,3.99,142.5,2.14%,0.16%,1.71% (Oct 2018),1.71% (Oct 2018),7.20 k,0.00,Large Cap,13.16
Muthoot Finance Pvt. Ltd.,Nbfc,4.72,139.1,2.09%,0.03%,1.37% (May 2018),1.37% (May 2018),2.33 L,0.00,Mid Cap,68.13
NCC Ltd.,"Engineering, designing, construction",8.54,138.9,2.09%,0.24%,1.73% (Sep 2018),1.73% (Sep 2018),14.00 L,0.00,Small Cap,15.37
Aditya Birla Fashion and Retail Ltd.,Retailing,8.98,134.8,2.03%,0.01%,1.84% (Aug 2018),0% (May 2018),6.25 L,0.00,Mid Cap,68.13
