Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,23.21,4.3,9.26%,0.74%,10.85% (Mar 2018),8.47% (Aug 2018),2.09 k,0.22 k,Large Cap,53.11
Ultratech Cement Ltd.,Cement,21.39,3.8,8.16%,0.83%,8.2% (Sep 2018),6.41% (May 2018),1.00 k,0.00,Large Cap,53.11
Shree Cement Ltd.,Cement,21.39,3.3,7.08%,0.53%,7.08% (Feb 2019),5.46% (Mar 2018),200.00,0.00,Large Cap,53.11
ICICI Bank Ltd.,Banks,23.21,3.1,6.57%,0.10%,6.68% (Jan 2019),4.1% (Apr 2018),8.80 k,0.00,Large Cap,53.11
The Ramco Cements Ltd.,Cement,21.39,2.9,6.15%,0.78%,6.48% (Apr 2018),5.19% (Nov 2018),4.30 k,0.00,Mid Cap,25.38
Power Grid Corporation of India Ltd.,Power transmission,5.97,2.8,5.97%,0.04%,6.01% (Jan 2019),5.01% (Mar 2018),15.30 k,0.00,Large Cap,53.11
Gujarat State Petronet Ltd.,Gas transmission/marketing,5.53,2.6,5.53%,0.51%,6.19% (Oct 2018),4.82% (Apr 2018),16.50 k,0.00,Mid Cap,25.38
Cummins India Ltd.,Diesel engines,5.52,2.6,5.52%,0.55%,6.2% (Dec 2018),4.38% (Mar 2018),3.70 k,0.00,Mid Cap,25.38
Sadbhav Engineering Ltd.,"Engineering, designing, construction",14.26,2.4,5.08%,0.03%,9.28% (Mar 2018),5.08% (Feb 2019),12.50 k,0.00,Small Cap,17.59
Thermax Ltd.,Industrial equipment,4.18,2,4.18%,0.34%,4.52% (Jan 2019),3.63% (Aug 2018),1.98 k,0.00,Mid Cap,25.38
Finolex Cables Ltd.,Cables  electricals,4.08,1.9,4.08%,0.02%,5.56% (May 2018),4.08% (Feb 2019),4.74 k,0.00,Small Cap,17.59
Larsen & Toubro Ltd.,"Engineering, designing, construction",14.26,1.8,3.93%,0.03%,4.08% (Nov 2018),3.16% (Mar 2018),1.43 k,0.00,Large Cap,53.11
State Bank Of India,Banks,23.21,1.8,3.90%,0.26%,4.16% (Jan 2019),0% (Mar 2018),6.80 k,0.00,Large Cap,53.11
Axis Bank Ltd.,Banks,23.21,1.6,3.48%,0.02%,3.48% (Feb 2019),1.95% (Apr 2018),2.30 k,0.00,Large Cap,53.11
NCC Ltd.,"Engineering, designing, construction",14.26,1.4,3.01%,0.28%,3.61% (Apr 2018),2.43% (Sep 2018),16.50 k,0.00,Small Cap,17.59
ABB India Ltd.,Power equipment,2.71,1.3,2.71%,0.03%,2.95% (Sep 2018),2.18% (May 2018),1.04 k,0.00,Large Cap,53.11
Schaeffler India Ltd.,Bearings,2.65,1.2,2.65%,0.13%,2.65% (Feb 2019),2% (Mar 2018),230.00,0.00,Mid Cap,25.38
Kalpataru Power Transmission Ltd.,Transmission towers,2.55,1.2,2.55%,0.26%,2.55% (Feb 2019),1.91% (Aug 2018),3.00 k,0.00,Small Cap,17.59
Sadbhav Infrastructure Project Ltd.,"Engineering, designing, construction",14.26,1.1,2.24%,0.02%,2.78% (Mar 2018),2.23% (Jan 2019),12.50 k,0.00,Small Cap,17.59
Container Corporation Of India Ltd.,Logistics solution provider,2.05,1,2.05%,0.17%,2.22% (Jan 2019),1.7% (Mar 2018),2.03 k,406.00,Large Cap,53.11
NBCC (India) Ltd.,Construction civil,1.35,0.6,1.35%,0.11%,2.06% (Apr 2018),1.27% (Nov 2018),12.00 k,0.00,Mid Cap,25.38
Ingersoll Rand (india) Ltd.,Compressors / pumps,0.63,0.3,0.63%,0.01%,0.63% (Jan 2019),0.48% (Jul 2018),520.00,0.00,Small Cap,17.59
