Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,14.84,656.3,6.72%,0.00%,5.6% (Aug 2018),5.6% (Aug 2018),2.83 L,0.00,Large Cap,42.33
ICICI Bank Ltd.,Banks,14.84,653.7,6.69%,0.11%,3.91% (May 2018),3.91% (May 2018),16.04 L,0.00,Large Cap,42.33
Infosys Ltd.,Computers  software,4.73,462.4,4.73%,0.04%,2.74% (May 2018),2.74% (May 2018),6.15 L,0.00,Large Cap,42.33
Xinyi Solar Holdings Ltd.,Foreign equity,23.71,317.4,3.25%,0.52%,1.52% (Jul 2018),1.52% (Jul 2018),79.90 L,0.00,Other,24.17
National Thermal Power Corporation Ltd.,Power,2.95,288.2,2.95%,0.02%,2.3% (Jan 2019),0% (May 2018),21.50 L,0.00,Large Cap,42.33
Power Grid Corporation of India Ltd.,Power transmission,2.88,281.3,2.88%,0.18%,2.88% (Apr 2019),0% (May 2018),15.09 L,0.00,Large Cap,42.33
Tata Chemicals Ltd.,Chemicals  inorganic,2.57,250.6,2.57%,0.05%,2.57% (Apr 2019),2.57% (Apr 2019),4.34 L,0.00,Mid Cap,11.24
J.K. Cement Ltd.,Cement,5.28,250.1,2.56%,0.10%,2.05% (Jul 2018),2.05% (Jul 2018),2.77 L,0.00,Small Cap,15.05
Gujarat State Petronet Ltd.,Gas transmission/marketing,3,244.7,2.51%,0.12%,1.36% (Jan 2019),0% (May 2018),12.24 L,0.00,Mid Cap,11.24
Tata Investment Corporation Ltd.,Investment companies,4.5,243.4,2.49%,0.06%,2.43% (Mar 2019),2.43% (Mar 2019),2.85 L,0.00,Small Cap,15.05
Aramex PJSC,Foreign equity,23.71,231,2.36%,0.02%,1.7% (May 2018),1.7% (May 2018),25.62 L,0.00,Other,24.17
Reliance Industries Ltd.,Refineries/marketing,5.29,223.8,2.29%,0.05%,2.11% (Feb 2019),2.11% (Feb 2019),1.61 L,0.00,Large Cap,42.33
Apollo Tyres Limited,Tyres & allied,3.04,206.5,2.11%,0.18%,2.11% (Apr 2019),2.11% (Apr 2019),10.02 L,0.00,Mid Cap,11.24
Equitas Holdings Ltd.,Investment companies,4.5,196.3,2.01%,0.10%,1.74% (Nov 2018),1.74% (Nov 2018),15.06 L,0.00,Small Cap,15.05
Health & Happiness (H&H) International,Foreign equity,23.71,188.4,1.93%,0.02%,1.89% (Dec 2018),1.89% (Dec 2018),4.41 L,0.00,Other,24.17
Coal India Ltd.,Industrial minerals,1.93,188.4,1.93%,0.12%,1.44% (Jul 2018),1.44% (Jul 2018),7.47 L,0.00,Large Cap,42.33
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,5.29,186.3,1.91%,0.05%,1.52% (Feb 2019),0% (May 2018),6.40 L,0.00,Large Cap,42.33
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,1.86,181.7,1.86%,0.08%,1.79% (Feb 2019),0% (May 2018),7.53 L,0.00,Large Cap,42.33
Biocon Ltd.,Pharmaceuticals,3.01,176.6,1.81%,0.05%,1.78% (Aug 2018),1.78% (Aug 2018),2.97 L,0.00,Large Cap,42.33
Medy Tox Inc,Foreign equity,23.71,172.1,1.76%,0.11%,1.76% (Apr 2019),1.76% (Apr 2019),5.15 k,0.00,Other,24.17
Stock Spirits Group PLC,Foreign equity,23.71,170,1.74%,0.07%,1.74% (Apr 2019),1.74% (Apr 2019),8.51 L,0.00,Other,24.17
Luye Pharma Group Ltd.,Foreign equity,23.71,169,1.73%,0.07%,1.4% (Dec 2018),1.4% (Dec 2018),26.78 L,0.00,Other,24.17
Orissa Cement Ltd.,Cement,5.28,161.7,1.66%,0.23%,1.43% (Mar 2019),0% (May 2018),1.41 L,0.00,Small Cap,15.05
Finolex Industries Ltd.,Plastic products,1.64,159.9,1.64%,0.09%,0.93% (Jan 2019),0% (May 2018),3.45 L,0.00,Small Cap,15.05
Redington (India) Ltd.,Logistics solution provider,1.58,154.4,1.58%,0.01%,1.19% (Jan 2019),1.19% (Jan 2019),15.18 L,0.00,Small Cap,15.05
Vardhman Textiles Ltd.,Spinningcotton/blended,1.58,154.3,1.58%,0.05%,1.45% (Aug 2018),1.45% (Aug 2018),1.37 L,0.00,Small Cap,15.05
MahleMetal Leve SA,Foreign equity,23.71,145.7,1.49%,0.01%,1.49% (Apr 2019),1.49% (Apr 2019),3.40 L,0.00,Other,24.17
Federal Bank Ltd.,Banks,14.84,139.6,1.43%,0.06%,1.15% (Sep 2018),1.15% (Sep 2018),15.06 L,0.00,Mid Cap,11.24
COSCO Pacific Ltd.,Foreign equity,23.71,137.3,1.41%,0.10%,1.1% (Jun 2018),1.1% (Jun 2018),19.75 L,0.00,Other,24.17
Vedanta Ltd.,Copper & copper products,1.37,133.4,1.37%,0.14%,1.33% (Jul 2018),1.33% (Jul 2018),8.00 L,0.00,Large Cap,42.33
Oil & Natural Gas Corporation Ltd.,Oil exploration,1.3,127.4,1.30%,0.07%,1.16% (Nov 2018),1.16% (Nov 2018),7.53 L,0.00,Large Cap,42.33
Xtep International Holdings Ltd.,Foreign equity,23.71,127.3,1.30%,0.32%,1.29% (Nov 2018),1.29% (Nov 2018),32.04 L,0.00,Other,24.17
Tata Motors Ltd.  A Class,Commercial vehicles,1.69,118.6,1.21%,0.19%,1.02% (Mar 2019),1.02% (Mar 2019),11.59 L,0.00,Mid Cap,11.24
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,3.01,117.4,1.20%,0.06%,0.82% (Jul 2018),0% (May 2018),40.00 k,0.00,Large Cap,42.33
Travelsky Technology Ltd.,Foreign equity,23.71,113.4,1.16%,1.05%,1.16% (Apr 2019),1.16% (Apr 2019),6.33 L,5.46 L,Other,24.17
Indian Oil Corporation Ltd.,Refineries/marketing,5.29,106.3,1.09%,0.03%,0.98% (Jan 2019),0% (May 2018),6.72 L,0.00,Large Cap,42.33
Grasim Industries Limited,Cement,5.28,103.4,1.06%,0.05%,0.95% (Feb 2019),0% (May 2018),1.15 L,0.00,Large Cap,42.33
Tech Mahindra Ltd.,Software telecom,1.04,102,1.04%,0.05%,0.97% (Jan 2019),0% (May 2018),1.22 L,2.28 k,Large Cap,42.33
Bajaj Auto Ltd.,Motor cycles/scooters,1.01,98.3,1.01%,0.03%,0.9% (Jan 2019),0% (May 2018),32.93 k,0.00,Large Cap,42.33
I.T Ltd.,Foreign equity,23.71,95.4,0.98%,0.05%,0.93% (Mar 2019),0.93% (Mar 2019),28.26 L,0.00,Other,24.17
Himatsingka Seide Ltd.,Fabrics and garments,0.96,94,0.96%,0.02%,0.78% (Feb 2019),0% (May 2018),4.39 L,0.00,Small Cap,15.05
St. Shine Optical Co. Ltd.,Foreign equity,23.71,91.9,0.94%,0.03%,0.94% (Dec 2018),0% (May 2018),70.70 k,0.00,Other,24.17
Balkrishna Industries Ltd.,Tyres & allied,3.04,90.9,0.93%,0.08%,0.43% (Jan 2019),0.43% (Jan 2019),99.40 k,0.00,Mid Cap,11.24
Novatek Microelectronics Corp. Ltd.,Foreign equity,23.71,85,0.87%,0.02%,0.55% (May 2018),0.55% (May 2018),1.87 L,0.00,Other,24.17
Pacific Hospital Supply Co Ltd.,Foreign equity,23.71,82.7,0.85%,0.01%,0.72% (Jul 2018),0.72% (Jul 2018),5.00 L,0.00,Other,24.17
Primax Electronics Ltd.,Foreign equity,23.71,71.3,0.73%,0.03%,0.53% (Dec 2018),0.53% (Dec 2018),5.00 L,0.00,Other,24.17
