Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,25.45,242.9,9.35%,0.21%,8.71% (Aug 2018),8.71% (Aug 2018),1.05 L,0.00,Large Cap,75.64
Tata Consultancy Services Ltd.,Computers  software,10,154,5.93%,0.56%,4.97% (Jun 2018),0% (May 2018),68.12 k,0.00,Large Cap,75.64
Reliance Industries Ltd.,Refineries/marketing,7.14,152.8,5.88%,0.58%,5.88% (Apr 2019),5.88% (Apr 2019),1.10 L,0.11 L,Large Cap,75.64
ICICI Bank Ltd.,Banks,25.45,131.3,5.05%,0.59%,2.99% (Nov 2018),0% (May 2018),3.22 L,39.31 k,Large Cap,75.64
ITC Limited,Cigarettes,4.22,109.6,4.22%,0.45%,4.22% (Apr 2019),4.22% (Apr 2019),3.64 L,0.36 L,Large Cap,75.64
Axis Bank Ltd.,Banks,25.45,109.4,4.21%,0.15%,1.5% (Jul 2018),0% (May 2018),1.43 L,0.00,Large Cap,75.64
Kotak Mahindra Bank Ltd.,Banks,25.45,106.6,4.10%,0.06%,2.32% (Sep 2018),2.32% (Sep 2018),76.89 k,0.00,Large Cap,75.64
Larsen & Toubro Ltd.,"Engineering, designing, construction",4.72,103.8,3.99%,0.21%,3.99% (Apr 2019),3.99% (Apr 2019),76.98 k,0.00,Large Cap,75.64
Infosys Ltd.,Computers  software,10,86,3.31%,2.09%,3.31% (Apr 2019),3.31% (Apr 2019),1.14 L,0.70 L,Large Cap,75.64
Bajaj Finance Ltd.,Nbfc,3.1,80.5,3.10%,0.46%,1.04% (Jun 2018),0% (May 2018),26.00 k,3.84 k,Large Cap,75.64
State Bank Of India,Banks,25.45,71.3,2.74%,0.56%,1% (Nov 2018),0% (May 2018),2.30 L,57.57 k,Large Cap,75.64
Maruti Suzuki India Ltd.,Passenger/utility vehicles,3.3,49.2,1.89%,1.06%,1.89% (Apr 2019),1.89% (Apr 2019),7.38 k,3.85 k,Large Cap,75.64
Gruh Finance Ltd.,Housing finance,1.78,46.2,1.78%,0.20%,0.88% (Jan 2019),0% (May 2018),1.45 L,0.00,Mid Cap,8.29
Power Grid Corporation of India Ltd.,Power transmission,1.71,44.5,1.71%,0.24%,1.16% (Feb 2019),1.16% (Feb 2019),2.39 L,50.04 k,Large Cap,75.64
The Ramco Cements Ltd.,Cement,1.64,42.7,1.64%,0.04%,1.02% (Nov 2018),1.02% (Nov 2018),55.12 k,0.00,Mid Cap,8.29
