Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,7.83,20.8,4.66%,0.09%,4.66% (Dec 2018),3.29% (Mar 2018),10.00 k,0.00,Large Cap,27.39
ITC Limited,Cigarettes,3.53,15.7,3.53%,0.04%,3.66% (Aug 2018),1.56% (Mar 2018),57.00 k,0.00,Large Cap,27.39
Larsen & Toubro Ltd.,"Engineering, designing, construction",2.82,12.6,2.82%,0.01%,2.82% (Feb 2019),1.56% (Jun 2018),9.73 k,0.00,Large Cap,27.39
Tata Consultancy Services Ltd.,Computers  software,5.31,9.4,2.12%,0.02%,2.12% (Feb 2019),0% (Mar 2018),4.76 k,0.00,Large Cap,27.39
Axis Bank Ltd.,Banks,7.83,8.2,1.84%,0.00%,1.84% (Jan 2019),0% (Mar 2018),11.60 k,0.00,Large Cap,27.39
Infosys Ltd.,Computers  software,5.31,7.9,1.77%,0.00%,1.77% (Jan 2019),1.06% (Mar 2018),10.77 k,0.00,Large Cap,27.39
HCL Technologies Limited,Computers  software,5.31,6.4,1.42%,0.09%,1.42% (Feb 2019),0.81% (Mar 2018),6.02 k,0.00,Large Cap,27.39
Kotak Mahindra Bank Ltd.,Banks,7.83,5.9,1.33%,0.02%,1.35% (Dec 2018),0% (Mar 2018),4.90 k,0.00,Large Cap,27.39
GAIL (India) Ltd.,Gas transmission/marketing,1.29,5.7,1.29%,0.07%,1.92% (Mar 2018),1.07% (Jun 2018),16.77 k,0.00,Large Cap,27.39
Container Corporation Of India Ltd.,Logistics solution provider,1.2,5.4,1.20%,0.11%,1.71% (May 2018),0% (Mar 2018),11.35 k,2.27 k,Large Cap,27.39
Indian Oil Corporation Ltd.,Refineries/marketing,1.19,5.3,1.19%,0.31%,1.63% (Sep 2018),1.19% (Feb 2019),36.64 k,0.13 L,Large Cap,27.39
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.11,5,1.11%,0.04%,2.36% (May 2018),1.11% (Feb 2019),7.67 k,0.00,Large Cap,27.39
Coal India Ltd.,Industrial minerals,1.1,4.9,1.10%,0.04%,2.16% (Apr 2018),1.06% (Jan 2019),21.50 k,0.00,Large Cap,27.39
Bajaj Auto Ltd.,Motor cycles/scooters,1.07,4.8,1.07%,0.15%,1.07% (Feb 2019),0% (Mar 2018),1.65 k,0.00,Large Cap,27.39
The Ramco Cements Ltd.,Cement,0.99,4.4,0.99%,0.12%,1.58% (Apr 2018),0.86% (Oct 2018),6.60 k,0.00,Mid Cap,0.99
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,0.94,4.2,0.94%,0.07%,1.24% (Sep 2018),0.61% (Mar 2018),9.37 k,0.00,Large Cap,27.39
