Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Infosys Ltd.,Computers  software,8.35,536.9,5.93%,0.05%,3.25% (May 2018),3.25% (May 2018),7.15 L,0.30 L,Large Cap,52.12
ICICI Bank Ltd.,Banks,12.31,501.5,5.53%,0.21%,4.3% (Jun 2018),4.3% (Jun 2018),12.31 L,0.00,Large Cap,52.12
Housing Development Finance Corporation Ltd.,Housing finance,6.77,478.8,5.28%,0.18%,1.05% (Jul 2018),0% (May 2018),2.40 L,0.00,Large Cap,52.12
ITC Limited,Cigarettes,5.03,455.7,5.03%,0.38%,5.03% (Apr 2019),5.03% (Apr 2019),15.12 L,1.76 L,Large Cap,52.12
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.03,274.9,3.03%,0.02%,3.03% (Apr 2019),3.03% (Apr 2019),2.04 L,0.00,Large Cap,52.12
State Bank Of India,Banks,12.31,265,2.92%,0.04%,1.58% (Sep 2018),0% (May 2018),8.55 L,0.00,Large Cap,52.12
Lupin Ltd.,Pharmaceuticals,8.33,237.8,2.62%,1.06%,0.66% (Sep 2018),0% (May 2018),2.73 L,77.00 k,Large Cap,52.12
Indian Oil Corporation Ltd.,Refineries/marketing,2.32,210.6,2.32%,0.02%,1.1% (May 2018),1.1% (May 2018),13.32 L,0.00,Large Cap,52.12
Vedanta Ltd.,Copper & copper products,2.21,200,2.21%,0.15%,1.43% (Jul 2018),1.43% (Jul 2018),11.98 L,1.61 L,Large Cap,52.12
Federal Bank Ltd.,Banks,12.31,171.5,1.89%,0.24%,1.88% (May 2018),1.88% (Jun 2018),18.49 L,2.00 L,Mid Cap,34.8
National Thermal Power Corporation Ltd.,Power,7.92,164.6,1.82%,0.03%,0.98% (Nov 2018),0% (May 2018),12.28 L,0.00,Large Cap,52.12
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.76,159.4,1.76%,0.25%,1.76% (Apr 2019),1.76% (Apr 2019),2.47 L,0.30 L,Large Cap,52.12
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,8.33,157.9,1.74%,0.43%,1.48% (Dec 2018),1.48% (Dec 2018),3.45 L,0.75 L,Large Cap,52.12
